loan_id,customer_id,age,gender,region,employment_type,loan_purpose,loan_amount,term_months,interest_rate,annual_income,issue_date,earliest_credit_line,fico_score,num_delinquencies_2yrs,open_credit_lines,revolving_utilization_pct,overdraft_count_6m,cashflow_volatility_score,monthly_installment,handled_by_employee_id,off_hours_access_flag,bulk_download_flag,loan_status,credit_history_months,dti_ratio,lti_ratio,fico_bucket,loan_status_group,default_flag,liquidity_proxy,cost_to_income_proxy
LN100000,CUST20000,45,Male,South,Salaried,Home,50000.0,60,14.96,423500.0,2022-01-29,2019-11-17,755,0,6,79.41,2,3384.61,1188.45,EMP1105,0,0,Current,26,0.0337,0.1181,Very Good,Good,0,0.20590000000000008,0.052360000000000004
LN100001,CUST20001,38,Male,South,Salaried,Home,50000.0,120,14.75,434000.0,2025-09-26,2021-11-30,785,0,3,59.54,0,1367.84,799.04,EMP1052,0,0,Fully Paid,46,0.0221,0.1152,Very Good,Good,0,0.40459999999999996,0.051625
LN100002,CUST20002,47,Female,West,Self-Employed,Personal,50000.0,180,7.02,314300.0,2024-05-11,2008-01-08,685,2,6,72.39,0,733.48,449.97,EMP1021,0,0,Current,196,0.0172,0.1591,Good,Good,0,0.2761,0.024569999999999998
LN100003,CUST20003,56,Male,South,Business Owner,Personal,50000.0,12,14.51,248000.0,2025-01-01,2007-03-16,734,1,5,55.53,1,2564.01,4501.36,EMP1100,0,0,Current,214,0.2178,0.2016,Good,Good,0,0.4447,0.050785
LN100004,CUST20004,37,Female,North,Salaried,Personal,50000.0,24,13.15,557000.0,2023-09-25,2022-08-23,609,0,3,65.02,1,999.81,2380.62,EMP1067,0,0,Fully Paid,13,0.0513,0.0898,Fair,Good,0,0.3498,0.046024999999999996
LN100005,CUST20005,37,Female,South,Salaried,Home,50000.0,36,16.6,269700.0,2021-10-04,2002-10-24,649,1,5,42.7,1,1393.6,1772.7,EMP1097,0,0,Fully Paid,227,0.0789,0.1854,Fair,Good,0,0.573,0.0581
LN100006,CUST20006,57,Female,West,Salaried,Credit Card Refinance,50000.0,60,11.28,679900.0,2024-06-02,2014-10-17,643,0,9,9.36,0,3430.55,1094.12,EMP1000,0,0,Current,116,0.0193,0.0735,Fair,Good,0,0.9064,0.039479999999999994
LN100007,CUST20007,48,Male,South,Salaried,Business,50000.0,12,15.13,195800.0,2023-06-30,2013-09-17,747,1,3,56.12,0,2164.91,4515.98,EMP1012,0,0,Current,117,0.2768,0.2554,Very Good,Good,0,0.4388000000000001,0.052955
LN100008,CUST20008,34,Female,East,Salaried,Credit Card Refinance,50000.0,84,13.0,293200.0,2025-09-25,2008-01-19,792,0,9,49.16,1,1156.53,909.6,EMP1066,0,0,Current,212,0.0372,0.1705,Very Good,Good,0,0.5084,0.0455
LN100009,CUST20009,45,Male,West,Salaried,Auto,58600.0,12,7.94,1360300.0,2024-03-04,2017-09-05,850,1,7,44.53,1,2124.71,5095.9,EMP1099,0,0,Current,78,0.045,0.0431,Excellent,Good,0,0.5547,0.02779
LN100010,CUST20010,34,Female,West,Retired,Education,50000.0,24,14.77,1466300.0,2021-12-24,2009-11-26,735,0,5,37.42,1,1807.27,2418.87,EMP1113,0,0,Current,145,0.0198,0.0341,Good,Good,0,0.6257999999999999,0.051695
LN100011,CUST20011,34,Male,Central,Salaried,Home,50000.0,36,14.09,209300.0,2021-11-24,2014-07-22,753,0,5,73.9,1,1326.41,1711.07,EMP1078,0,0,Fully Paid,88,0.0981,0.2389,Very Good,Good,0,0.2609999999999999,0.049315
LN100012,CUST20012,42,Male,South,Salaried,Business,52700.0,60,9.42,859500.0,2023-10-08,2020-08-12,567,0,2,75.48,0,2465.16,1104.74,EMP1020,0,0,Current,38,0.0154,0.0613,Poor,Good,0,0.24519999999999997,0.03297
LN100013,CUST20013,21,Male,North,Salaried,Home,82200.0,120,12.43,1074600.0,2022-09-10,2014-11-20,563,0,5,22.86,1,2432.09,1199.85,EMP1038,0,0,Current,94,0.0134,0.0765,Poor,Good,0,0.7714,0.043504999999999995
LN100014,CUST20014,21,Female,South,Salaried,Auto,50000.0,240,18.24,793900.0,2026-05-27,2022-02-13,623,1,5,12.93,0,3299.46,780.9,EMP1041,0,0,Current,51,0.0118,0.063,Fair,Good,0,0.8707,0.06384
LN100015,CUST20015,33,Male,South,Salaried,Personal,70600.0,120,9.95,426400.0,2023-11-04,2012-12-14,598,0,2,9.48,0,4983.15,931.03,EMP1008,0,0,Fully Paid,131,0.0262,0.1656,Fair,Good,0,0.9052,0.034824999999999995
LN100016,CUST20016,28,Male,West,Self-Employed,Personal,50000.0,24,13.82,153100.0,2022-11-13,2011-10-23,713,0,8,18.78,0,815.19,2396.39,EMP1097,0,0,Fully Paid,133,0.1878,0.3266,Good,Good,0,0.8122,0.048369999999999996
