loan_id,customer_id,age,gender,region,employment_type,loan_purpose,loan_amount,term_months,interest_rate,annual_income,issue_date,earliest_credit_line,fico_score,num_delinquencies_2yrs,open_credit_lines,revolving_utilization_pct,overdraft_count_6m,cashflow_volatility_score,monthly_installment,handled_by_employee_id,off_hours_access_flag,bulk_download_flag,loan_status,credit_history_months,dti_ratio,lti_ratio,fico_bucket,loan_status_group,default_flag,liquidity_proxy,cost_to_income_proxy,risk_segment,pca_1,pca_2
LN100000,CUST20000,45,Male,South,Salaried,Home,50000.0,60,14.96,423500.0,2022-01-29,2019-11-17,755,0,6,79.41,2,3384.61,1188.45,EMP1105,0,0,Current,26,0.0337,0.1181,Very Good,Good,0,0.2059,0.05236,Moderate-Risk,2.8746021622556417,-0.5679503818712399
LN100001,CUST20001,38,Male,South,Salaried,Home,50000.0,120,14.75,434000.0,2025-09-26,2021-11-30,785,0,3,59.54,0,1367.84,799.04,EMP1052,0,0,Fully Paid,46,0.0221,0.1152,Very Good,Good,0,0.4045999999999999,0.051625,Moderate-Risk,1.3963781300640534,-0.6384286342792499
LN100002,CUST20002,47,Female,West,Self-Employed,Personal,50000.0,180,7.02,314300.0,2024-05-11,2008-01-08,685,2,6,72.39,0,733.48,449.97,EMP1021,0,0,Current,196,0.0172,0.1591,Good,Good,0,0.2761,0.0245699999999999,Moderate-Risk,2.129443808893474,-0.6071218200046179
LN100003,CUST20003,56,Male,South,Business Owner,Personal,50000.0,12,14.51,248000.0,2025-01-01,2007-03-16,734,1,5,55.53,1,2564.01,4501.36,EMP1100,0,0,Current,214,0.2178,0.2016,Good,Good,0,0.4447,0.050785,Distressed,1.2718291035325169,2.235731243711577
LN100004,CUST20004,37,Female,North,Salaried,Personal,50000.0,24,13.15,557000.0,2023-09-25,2022-08-23,609,0,3,65.02,1,999.81,2380.62,EMP1067,0,0,Fully Paid,13,0.0513,0.0898,Fair,Good,0,0.3498,0.0460249999999999,Moderate-Risk,1.789581222796597,-0.532478993850837
LN100005,CUST20005,37,Female,South,Salaried,Home,50000.0,36,16.6,269700.0,2021-10-04,2002-10-24,649,1,5,42.7,1,1393.6,1772.7,EMP1097,0,0,Fully Paid,227,0.0789,0.1854,Fair,Good,0,0.573,0.0581,Watch-list,0.24487677159824286,0.6235818065253895
LN100006,CUST20006,57,Female,West,Salaried,Credit Card Refinance,50000.0,60,11.28,679900.0,2024-06-02,2014-10-17,643,0,9,9.36,0,3430.55,1094.12,EMP1000,0,0,Current,116,0.0193,0.0735,Fair,Good,0,0.9064,0.0394799999999999,Low-Risk,-2.221605986148732,-0.75921478272416
LN100007,CUST20007,48,Male,South,Salaried,Business,50000.0,12,15.13,195800.0,2023-06-30,2013-09-17,747,1,3,56.12,0,2164.91,4515.98,EMP1012,0,0,Current,117,0.2768,0.2554,Very Good,Good,0,0.4388000000000001,0.052955,Distressed,1.364189995255916,3.306498224393344
LN100008,CUST20008,34,Female,East,Salaried,Credit Card Refinance,50000.0,84,13.0,293200.0,2025-09-25,2008-01-19,792,0,9,49.16,1,1156.53,909.6,EMP1066,0,0,Current,212,0.0372,0.1705,Very Good,Good,0,0.5084,0.0455,Moderate-Risk,0.7284529178303274,-0.013556125890503165
LN100009,CUST20009,45,Male,West,Salaried,Auto,58600.0,12,7.94,1360300.0,2024-03-04,2017-09-05,850,1,7,44.53,1,2124.71,5095.9,EMP1099,0,0,Current,78,0.045,0.0431,Excellent,Good,0,0.5547,0.02779,Watch-list,0.24447120742434286,-0.9503446720496554
LN100010,CUST20010,34,Female,West,Retired,Education,50000.0,24,14.77,1466300.0,2021-12-24,2009-11-26,735,0,5,37.42,1,1807.27,2418.87,EMP1113,0,0,Current,145,0.0198,0.0341,Good,Good,0,0.6257999999999999,0.051695,Low-Risk,-0.19170369794397088,-1.1407053643632312
